Time,Open,High,Low,Last,Change,%Chg,Volume
12/19/2012,13.34,13.34,13.34,13.34,0.14,+1.06%,47992
12/18/2012,13.2,13.2,13.2,13.2,0.02,+0.15%,29564
12/17/2012,13.18,13.18,13.18,13.18,-0.39,-2.87%,73052
12/14/2012,13.57,13.57,13.57,13.57,-0.05,-0.37%,77912
12/13/2012,13.62,13.62,13.62,13.62,0.05,+0.37%,31078
12/12/2012,13.57,13.57,13.57,13.57,0.1,+0.74%,43792
12/11/2012,13.47,13.47,13.47,13.47,0.11,+0.82%,32269
12/10/2012,13.36,13.36,13.36,13.36,0.04,+0.30%,34637
12/07/2012,13.32,13.32,13.32,13.32,-0.05,-0.37%,42177
12/06/2012,13.37,13.37,13.37,13.37,0.12,+0.91%,53776
12/05/2012,13.25,13.25,13.25,13.25,0.27,+2.08%,35903
12/04/2012,12.98,12.98,12.98,12.98,0.46,+3.67%,72190
12/03/2012,12.52,12.52,12.52,12.52,0.01,+0.08%,35480
11/30/2012,12.51,12.51,12.51,12.51,0.12,+0.97%,29915
11/29/2012,12.39,12.39,12.39,12.39,0.14,+1.14%,33221
11/28/2012,12.25,12.25,12.25,12.25,0.18,+1.49%,37385
11/27/2012,12.07,12.07,12.07,12.07,-0.27,-2.19%,42523
11/26/2012,12.34,12.34,12.34,12.34,0.09,+0.73%,42346
11/23/2012,12.25,12.25,12.25,12.25,0.22,+1.83%,23457
11/22/2012,12.03,12.03,12.03,12.03,0.34,+2.91%,72828
11/21/2012,11.69,11.69,11.69,11.69,0.01,+0.09%,24905
11/20/2012,11.68,11.68,11.68,11.68,0.01,+0.09%,31730
11/19/2012,11.67,11.67,11.67,11.67,0.23,+2.01%,34363
11/16/2012,11.44,11.44,11.44,11.44,0.4,+3.62%,71110
11/15/2012,11.04,11.04,11.04,11.04,0.11,+1.01%,37642
11/14/2012,10.93,10.93,10.93,10.93,-0.02,-0.18%,27474
11/13/2012,10.95,10.95,10.95,10.95,0.02,+0.18%,22280
11/12/2012,10.93,10.93,10.93,10.93,0.12,+1.11%,47679
11/09/2012,10.81,10.81,10.81,10.81,-0.04,-0.37%,19608
11/08/2012,10.85,10.85,10.85,10.85,-0.07,-0.64%,33040
11/07/2012,10.92,10.92,10.92,10.92,0.16,+1.49%,39219
11/06/2012,10.76,10.76,10.76,10.76,0.13,+1.22%,33779
11/05/2012,10.63,10.63,10.63,10.63,0.09,+0.85%,34121
11/02/2012,10.54,10.54,10.54,10.54,-0.38,-3.48%,32225
11/01/2012,10.92,10.92,10.92,10.92,-0.07,-0.64%,55265
10/31/2012,10.99,10.99,10.99,10.99,0.29,+2.71%,46252
10/30/2012,10.7,10.7,10.7,10.7,0.09,+0.85%,33112
10/29/2012,10.61,10.61,10.61,10.61,0.33,+3.21%,44751
10/26/2012,10.28,10.28,10.28,10.28,-0.74,-6.72%,106643
10/25/2012,11.02,11.02,11.02,11.02,-0.6,-5.16%,92862
10/24/2012,11.62,11.62,11.62,11.62,-0.07,-0.60%,27143
10/23/2012,11.69,11.69,11.69,11.69,0.04,+0.34%,61935
10/22/2012,11.65,11.65,11.65,11.65,-0.08,-0.68%,44352
10/19/2012,11.73,11.73,11.73,11.73,-0.12,-1.01%,35462
10/18/2012,11.85,11.85,11.85,11.85,0.02,+0.17%,25351
10/17/2012,11.83,11.83,11.83,11.83,0.05,+0.42%,28918
10/16/2012,11.78,11.78,11.78,11.78,0.1,+0.86%,43938
10/15/2012,11.68,11.68,11.68,11.68,-0.35,-2.91%,33193
10/12/2012,12.03,12.03,12.03,12.03,0.03,+0.25%,24498
10/11/2012,12,12,12,12,-0.01,-0.08%,24798
10/10/2012,12.01,12.01,12.01,12.01,0.04,+0.33%,34124
10/09/2012,11.97,11.97,11.97,11.97,0.72,+6.40%,51278
10/08/2012,11.25,11.25,11.25,11.25,-1.43,-11.28%,104905
10/05/2012,12.68,12.68,12.68,12.68,-0.16,-1.25%,38601
10/04/2012,12.84,12.84,12.84,12.84,0.09,+0.71%,45183
10/03/2012,12.75,12.75,12.75,12.75,0.19,+1.51%,45956
10/02/2012,12.56,12.56,12.56,12.56,0.28,+2.28%,64777
10/01/2012,12.28,12.28,12.28,12.28,-0.02,-0.16%,34871
09/28/2012,12.3,12.3,12.3,12.3,0.03,+0.24%,32461
09/27/2012,12.27,12.27,12.27,12.27,0.08,+0.66%,25351
09/26/2012,12.19,12.19,12.19,12.19,0.13,+1.08%,28238
09/25/2012,12.06,12.06,12.06,12.06,0,0.00%,26573
09/24/2012,12.06,12.06,12.06,12.06,-0.2,-1.63%,34894
09/21/2012,12.26,12.26,12.26,12.26,-0.21,-1.68%,39633
09/20/2012,12.47,12.47,12.47,12.47,0.08,+0.65%,36551
09/19/2012,12.39,12.39,12.39,12.39,0.36,+2.99%,46489
09/18/2012,12.03,12.03,12.03,12.03,0.17,+1.43%,48651
09/17/2012,11.86,11.86,11.86,11.86,0.3,+2.60%,32446
09/14/2012,11.56,11.56,11.56,11.56,0.23,+2.03%,48363
09/13/2012,11.33,11.33,11.33,11.33,0.14,+1.25%,24142
09/12/2012,11.19,11.19,11.19,11.19,0.11,+0.99%,64112
09/11/2012,11.08,11.08,11.08,11.08,0.05,+0.45%,75122
09/10/2012,11.03,11.03,11.03,11.03,-0.07,-0.63%,47205
09/07/2012,11.1,11.1,11.1,11.1,0.16,+1.46%,39153
09/06/2012,10.94,10.94,10.94,10.94,0.21,+1.96%,74207
09/05/2012,10.73,10.73,10.73,10.73,0.43,+4.17%,65900
09/04/2012,10.3,10.3,10.3,10.3,-0.04,-0.39%,38973
09/03/2012,10.34,10.34,10.34,10.34,0.15,+1.47%,25475
08/31/2012,10.19,10.19,10.19,10.19,-0.56,-5.21%,72572
08/30/2012,10.75,10.75,10.75,10.75,-0.09,-0.83%,33839
08/29/2012,10.84,10.84,10.84,10.84,-0.05,-0.46%,59452
08/28/2012,10.89,10.89,10.89,10.89,-0.29,-2.59%,63647
08/27/2012,11.18,11.18,11.18,11.18,0.92,+8.97%,185234
08/24/2012,10.26,10.26,10.26,10.26,0.26,+2.60%,98994
08/23/2012,10,10,10,10,0.09,+0.91%,60425
08/22/2012,9.91,9.91,9.91,9.91,-0.12,-1.20%,78585
08/21/2012,10.03,10.03,10.03,10.03,0.52,+5.47%,78669
08/20/2012,9.51,9.51,9.51,9.51,-3.8,-28.55%,204045
08/17/2012,13.31,13.31,13.31,13.31,0.09,+0.68%,235651
08/16/2012,13.22,13.22,13.22,13.22,0.62,+4.92%,103916
08/15/2012,12.6,12.6,12.6,12.6,0.52,+4.30%,63283
08/14/2012,12.08,12.08,12.08,12.08,0.33,+2.81%,48978
08/13/2012,11.75,11.75,11.75,11.75,0.38,+3.34%,64278
08/10/2012,11.37,11.37,11.37,11.37,0.05,+0.44%,73649
08/09/2012,11.32,11.32,11.32,11.32,0.31,+2.82%,110043
08/08/2012,11.01,11.01,11.01,11.01,0.2,+1.85%,36055
08/07/2012,10.81,10.81,10.81,10.81,-0.06,-0.55%,49111
08/06/2012,10.87,10.87,10.87,10.87,0.16,+1.49%,58823
08/03/2012,10.71,10.71,10.71,10.71,0.61,+6.04%,68493
08/02/2012,10.1,10.1,10.1,10.1,0.7,+7.45%,133501
08/01/2012,9.4,9.4,9.4,9.4,0.16,+1.73%,77791
07/31/2012,9.24,9.24,9.24,9.24,0.32,+3.59%,72373
07/30/2012,8.92,8.92,8.92,8.92,0.04,+0.45%,58026
07/27/2012,8.88,8.88,8.88,8.88,0.13,+1.49%,28980
07/26/2012,8.75,8.75,8.75,8.75,0.17,+1.98%,35893
07/25/2012,8.58,8.58,8.58,8.58,-0.03,-0.35%,69054
07/24/2012,8.61,8.61,8.61,8.61,0.15,+1.77%,45955
07/23/2012,8.46,8.46,8.46,8.46,0.26,+3.17%,156082
07/20/2012,8.2,8.2,8.2,8.2,-0.88,-9.69%,159918
07/19/2012,9.08,9.08,9.08,9.08,0.08,+0.89%,53926
07/18/2012,9,9,9,9,0.67,+8.04%,115864
07/17/2012,8.33,8.33,8.33,8.33,0.28,+3.48%,219915
07/16/2012,8.05,8.05,8.05,8.05,0.42,+5.50%,111332
07/13/2012,7.63,7.63,7.63,7.63,0.35,+4.81%,69319
07/12/2012,7.28,7.28,7.28,7.28,0.18,+2.54%,70244
07/11/2012,7.1,7.1,7.1,7.1,0.01,+0.14%,44688
07/10/2012,7.09,7.09,7.09,7.09,0.23,+3.35%,77770
07/09/2012,6.86,6.86,6.86,6.86,0.23,+3.47%,73698
07/06/2012,6.63,6.63,6.63,6.63,-0.01,-0.15%,47668
07/05/2012,6.64,6.64,6.64,6.64,0.14,+2.15%,50334
07/04/2012,6.5,6.5,6.5,6.5,-0.05,-0.76%,38971
07/03/2012,6.55,6.55,6.55,6.55,-0.13,-1.95%,76600
07/02/2012,6.68,6.68,6.68,6.68,0.09,+1.37%,43934
06/29/2012,6.59,6.59,6.59,6.59,0.03,+0.46%,38684
06/28/2012,6.56,6.56,6.56,6.56,0.04,+0.61%,49107
06/27/2012,6.52,6.52,6.52,6.52,0.14,+2.19%,58210
06/26/2012,6.38,6.38,6.38,6.38,0.08,+1.27%,57116
06/25/2012,6.3,6.3,6.3,6.3,-0.28,-4.26%,71617
06/22/2012,6.58,6.58,6.58,6.58,-0.1,-1.50%,60851
06/21/2012,6.68,6.68,6.68,6.68,0.08,+1.21%,54899
06/20/2012,6.6,6.6,6.6,6.6,0.17,+2.64%,71172
06/19/2012,6.43,6.43,6.43,6.43,0.17,+2.72%,48432
06/18/2012,6.26,6.26,6.26,6.26,0.16,+2.62%,51430
06/15/2012,6.1,6.1,6.1,6.1,0.22,+3.74%,73005
06/14/2012,5.88,5.88,5.88,5.88,0.03,+0.51%,44521
06/13/2012,5.85,5.85,5.85,5.85,0.23,+4.09%,64508
06/12/2012,5.62,5.62,5.62,5.62,0.13,+2.37%,93312
06/11/2012,5.49,5.49,5.49,5.49,-0.12,-2.14%,47168
06/08/2012,5.61,5.61,5.61,5.61,0.12,+2.19%,61182
06/07/2012,5.49,5.49,5.49,5.49,0.06,+1.10%,54471
06/06/2012,5.43,5.43,5.43,5.43,0.05,+0.93%,45220
06/05/2012,5.38,5.38,5.38,5.38,0.15,+2.87%,90657
06/04/2012,5.23,5.23,5.23,5.23,0,0.00%,54324
06/01/2012,5.23,5.23,5.23,5.23,0.08,+1.55%,50233
05/31/2012,5.15,5.15,5.15,5.15,0.02,+0.39%,44662
05/30/2012,5.13,5.13,5.13,5.13,0.03,+0.59%,44847
05/29/2012,5.1,5.1,5.1,5.1,-0.01,-0.20%,66645
05/28/2012,5.11,5.11,5.11,5.11,0.01,+0.20%,32344
05/25/2012,5.1,5.1,5.1,5.1,-0.01,-0.20%,29329
05/24/2012,5.11,5.11,5.11,5.11,-0.01,-0.20%,32713
05/23/2012,5.12,5.12,5.12,5.12,0.05,+0.99%,58980
05/22/2012,5.07,5.07,5.07,5.07,0,0.00%,49854
05/21/2012,5.07,5.07,5.07,5.07,-0.02,-0.39%,44938
05/18/2012,5.09,5.09,5.09,5.09,0.02,+0.39%,57384
05/17/2012,5.07,5.07,5.07,5.07,0.01,+0.20%,30048
05/16/2012,5.06,5.06,5.06,5.06,0.07,+1.40%,75924
05/15/2012,4.99,4.99,4.99,4.99,0.01,+0.20%,54265
05/14/2012,4.98,4.98,4.98,4.98,0.06,+1.22%,57835
05/11/2012,4.92,4.92,4.92,4.92,-0.03,-0.61%,70557
05/10/2012,4.95,4.95,4.95,4.95,-0.09,-1.79%,78062
05/09/2012,5.04,5.04,5.04,5.04,0.02,+0.40%,44315
05/08/2012,5.02,5.02,5.02,5.02,-0.01,-0.20%,72980
05/07/2012,5.03,5.03,5.03,5.03,-0.08,-1.57%,50477
05/04/2012,5.11,5.11,5.11,5.11,0.03,+0.59%,48140
05/03/2012,5.08,5.08,5.08,5.08,0.01,+0.20%,40205
05/02/2012,5.07,5.07,5.07,5.07,0.11,+2.22%,104860
05/01/2012,4.96,4.96,4.96,4.96,0.02,+0.40%,38468
04/30/2012,4.94,4.94,4.94,4.94,-0.13,-2.56%,59159
04/27/2012,5.07,5.07,5.07,5.07,0,0.00%,28908
04/26/2012,5.07,5.07,5.07,5.07,-0.05,-0.98%,64781
04/25/2012,5.12,5.12,5.12,5.12,0.06,+1.19%,39132
04/24/2012,5.06,5.06,5.06,5.06,-0.06,-1.17%,81970
04/23/2012,5.12,5.12,5.12,5.12,-0.1,-1.92%,54539
04/20/2012,5.22,5.22,5.22,5.22,0.09,+1.75%,111486
04/19/2012,5.13,5.13,5.13,5.13,0.06,+1.18%,56163
04/18/2012,5.07,5.07,5.07,5.07,0.12,+2.42%,86728
04/17/2012,4.95,4.95,4.95,4.95,0.04,+0.81%,33895
04/16/2012,4.91,4.91,4.91,4.91,0.06,+1.24%,42117
04/13/2012,4.85,4.85,4.85,4.85,-0.01,-0.21%,102567
04/12/2012,4.86,4.86,4.86,4.86,-0.02,-0.41%,56478
04/11/2012,4.88,4.88,4.88,4.88,0.08,+1.67%,71300
04/10/2012,4.8,4.8,4.8,4.8,0.05,+1.05%,61972
04/09/2012,4.75,4.75,4.75,4.75,-0.18,-3.65%,43887
04/06/2012,4.93,4.93,4.93,4.93,0.03,+0.61%,62943
04/05/2012,4.9,4.9,4.9,4.9,-0.01,-0.20%,38278
04/04/2012,4.91,4.91,4.91,4.91,0.01,+0.20%,57337
04/03/2012,4.9,4.9,4.9,4.9,-0.02,-0.41%,80448
04/02/2012,4.92,4.92,4.92,4.92,0.15,+3.14%,87370
03/30/2012,4.77,4.77,4.77,4.77,0.04,+0.85%,44665
03/29/2012,4.73,4.73,4.73,4.73,-0.06,-1.25%,43596
03/28/2012,4.79,4.79,4.79,4.79,0.13,+2.79%,39296
03/27/2012,4.66,4.66,4.66,4.66,0.02,+0.43%,77519
03/26/2012,4.64,4.64,4.64,4.64,-0.05,-1.07%,72254
03/23/2012,4.69,4.69,4.69,4.69,-0.06,-1.26%,56576
03/22/2012,4.75,4.75,4.75,4.75,-0.06,-1.25%,62475
03/21/2012,4.81,4.81,4.81,4.81,0.02,+0.42%,48285
03/20/2012,4.79,4.79,4.79,4.79,-0.09,-1.84%,68415
03/19/2012,4.88,4.88,4.88,4.88,-0.45,-8.44%,191688
03/16/2012,5.33,5.33,5.33,5.33,0.03,+0.57%,34280
03/15/2012,5.3,5.3,5.3,5.3,-0.05,-0.93%,44432
03/14/2012,5.35,5.35,5.35,5.35,0.2,+3.88%,66558
03/13/2012,5.15,5.15,5.15,5.15,0.28,+5.75%,131789
03/12/2012,4.87,4.87,4.87,4.87,-0.02,-0.41%,24335
03/09/2012,4.89,4.89,4.89,4.89,0.02,+0.41%,34400
03/08/2012,4.87,4.87,4.87,4.87,-0.05,-1.02%,59192
03/07/2012,4.92,4.92,4.92,4.92,-0.05,-1.01%,48073
03/06/2012,4.97,4.97,4.97,4.97,0.04,+0.81%,46426
03/05/2012,4.93,4.93,4.93,4.93,0.24,+5.12%,68646
03/02/2012,4.69,4.69,4.69,4.69,-0.23,-4.67%,131795
03/01/2012,4.92,4.92,4.92,4.92,0.1,+2.07%,46228
02/29/2012,4.82,4.82,4.82,4.82,-0.05,-1.03%,28962
02/28/2012,4.87,4.87,4.87,4.87,-0.06,-1.22%,64204
02/27/2012,4.93,4.93,4.93,4.93,-0.04,-0.80%,31087
02/24/2012,4.97,4.97,4.97,4.97,0.15,+3.11%,91452
02/23/2012,4.82,4.82,4.82,4.82,0.38,+8.56%,166367
02/22/2012,4.44,4.44,4.44,4.44,0.13,+3.02%,105452
02/21/2012,4.31,4.31,4.31,4.31,-0.06,-1.37%,53195
02/20/2012,4.37,4.37,4.37,4.37,-0.09,-2.02%,39137
02/17/2012,4.46,4.46,4.46,4.46,0.27,+6.44%,137179
02/16/2012,4.19,4.19,4.19,4.19,-0.39,-8.52%,167516
02/15/2012,4.58,4.58,4.58,4.58,-0.12,-2.55%,162860
02/14/2012,4.7,4.7,4.7,4.7,-0.64,-11.99%,299211
02/13/2012,5.34,5.34,5.34,5.34,-0.53,-9.03%,171159
02/10/2012,5.87,5.87,5.87,5.87,0.12,+2.09%,40472
02/09/2012,5.75,5.75,5.75,5.75,0.11,+1.95%,91047
02/08/2012,5.64,5.64,5.64,5.64,0.02,+0.36%,239257
02/07/2012,5.62,5.62,5.62,5.62,0.07,+1.26%,73673
02/06/2012,5.55,5.55,5.55,5.55,-0.37,-6.25%,90795
02/03/2012,5.92,5.92,5.92,5.92,-0.11,-1.82%,60463
02/02/2012,6.03,6.03,6.03,6.03,0.21,+3.61%,55554
02/01/2012,5.82,5.82,5.82,5.82,0.29,+5.24%,116747
01/31/2012,5.53,5.53,5.53,5.53,0.02,+0.36%,49165
01/30/2012,5.51,5.51,5.51,5.51,0.22,+4.16%,42758
01/27/2012,5.29,5.29,5.29,5.29,-0.3,-5.37%,117073
01/26/2012,5.59,5.59,5.59,5.59,-0.29,-4.93%,124484
01/25/2012,5.88,5.88,5.88,5.88,-0.42,-6.67%,133967
01/24/2012,6.3,6.3,6.3,6.3,0.01,+0.16%,36082
01/23/2012,6.29,6.29,6.29,6.29,-0.15,-2.33%,18597
01/20/2012,6.44,6.44,6.44,6.44,0.26,+4.21%,67357
01/19/2012,6.18,6.18,6.18,6.18,0.2,+3.34%,115459
01/18/2012,5.98,5.98,5.98,5.98,-0.06,-0.99%,227364
01/17/2012,6.04,6.04,6.04,6.04,-0.79,-11.57%,214179
01/16/2012,6.83,6.83,6.83,6.83,0.22,+3.33%,123870
01/13/2012,6.61,6.61,6.61,6.61,-0.13,-1.93%,61031
01/12/2012,6.74,6.74,6.74,6.74,-0.07,-1.03%,141158
01/11/2012,6.81,6.81,6.81,6.81,0.41,+6.41%,100714
01/10/2012,6.4,6.4,6.4,6.4,-0.07,-1.08%,110798
01/09/2012,6.47,6.47,6.47,6.47,-0.32,-4.71%,149623
01/06/2012,6.79,6.79,6.79,6.79,0.59,+9.52%,220875
01/05/2012,6.2,6.2,6.2,6.2,0.95,+18.10%,184804
01/04/2012,5.25,5.25,5.25,5.25,0.3,+6.06%,132303
01/03/2012,4.95,4.95,4.95,4.95,-0.26,-4.99%,126202
01/02/2012,5.21,5.21,5.21,5.21,1.02,+24.34%,69591
12/30/2011,4.19,4.19,4.19,4.19,-0.03,-0.71%,41731
12/29/2011,4.22,4.22,4.22,4.22,0.08,+1.93%,53845
12/28/2011,4.14,4.14,4.14,4.14,0.13,+3.24%,34620
12/27/2011,4.01,4.01,4.01,4.01,-0.03,-0.74%,31428
12/26/2011,4.04,4.04,4.04,4.04,0.14,+3.59%,89436
12/23/2011,3.9,3.9,3.9,3.9,0.11,+2.90%,21102
12/22/2011,3.79,3.79,3.79,3.79,-0.14,-3.56%,57622
12/21/2011,3.93,3.93,3.93,3.93,-0.04,-1.01%,49633
12/20/2011,3.97,3.97,3.97,3.97,0.56,+16.42%,187494
12/19/2011,3.41,3.41,3.41,3.41,0.23,+7.23%,141523
12/16/2011,3.18,3.18,3.18,3.18,0.01,+0.32%,30929
